timestamp,lat,lon,elevation,speed,azimuth
2024-01-25T09:13:52.453000,39.605675,-105.941414,2856.891977,1.31758,212.300003
2024-01-25T09:13:54.351000,39.605665,-105.941413,2856.899854,14.276592,52.700001
2024-01-25T09:14:02.339000,39.605574,-105.941426,2856.899854,4.653119,182
2024-01-25T09:14:04.063000,39.605463,-105.941399,2856.899854,5.938255,161.5
2024-01-25T09:14:06.083000,39.605324,-105.941375,2859.099805,7.124206,167.699997
2024-01-25T09:14:08.083000,39.605233,-105.941386,2859.099805,8.556882,174
2024-01-25T09:14:10.082000,39.605128,-105.941366,2859.599805,9.904012,162.100006
2024-01-25T09:14:12.080000,39.605016,-105.941325,2862.09644,10.573998,153.300003
2024-01-25T09:14:14.078000,39.604927,-105.941279,2863.180453,10.950278,170.100006
2024-01-25T09:14:16.079000,39.604836,-105.941269,2866.067513,11.130329,180.800003
2024-01-25T09:14:18.079000,39.60473,-105.941279,2866.45511,11.2167,188.800003
2024-01-25T09:14:20.079000,39.604631,-105.941278,2866.653803,10.411401,180.399994
2024-01-25T09:14:22.083000,39.604524,-105.941219,2867.021777,10.223206,172
2024-01-25T09:14:24.078000,39.604423,-105.941182,2867.1205,11.390923,176
2024-01-25T09:14:27.076000,39.604289,-105.941189,2871.259595,9.960081,188
2024-01-25T09:14:29.080000,39.604179,-105.941216,2871.978,10.375639,189
2024-01-25T09:14:31.083000,39.60408,-105.941244,2872.898973,10.227417,187
2024-01-25T09:14:34.084000,39.603938,-105.941261,2874.030966,10.462674,174
2024-01-25T09:14:36.084000,39.60384,-105.94126,2875.634163,10.455308,176
2024-01-25T09:14:38.084000,39.603751,-105.941241,2877.959483,10.364548,167
2024-01-25T09:14:40.076000,39.603658,-105.941212,2880.367675,11.889406,171.899994
2024-01-25T09:14:42.081000,39.603557,-105.9412,2884.246168,12.63534,178
2024-01-25T09:14:44.078000,39.603455,-105.941203,2886.843016,12.139953,180
2024-01-25T09:14:46.080000,39.603359,-105.94121,2890.20249,12.068094,183
2024-01-25T09:14:48.084000,39.603259,-105.941221,2894.492259,11.661052,185
2024-01-25T09:14:50.078000,39.60316,-105.941232,2898.156174,11.40681,183.399994
2024-01-25T09:14:52.080000,39.603068,-105.941239,2901.786748,11.366984,183.300003
2024-01-25T09:14:55.079000,39.60294,-105.941245,2907.562494,11.240932,179.600006
2024-01-25T09:14:58.076000,39.602811,-105.941255,2914.509053,11.689969,183.300003
2024-01-25T09:15:00.088000,39.602721,-105.941266,2918.556624,11.916653,185.300003
2024-01-25T09:15:02.079000,39.602628,-105.941274,2923.847053,11.355034,185.100006
2024-01-25T09:15:05.078000,39.60251,-105.941274,2926.407662,10.930346,180.399994
2024-01-25T09:15:08.051000,39.602394,-105.941274,2930.596396,10.670973,178.600006
2024-01-25T09:15:11.080000,39.60227,-105.941268,2935.469711,10.567343,177
2024-01-25T09:15:14.084000,39.602139,-105.941264,2941.174238,10.236403,170.300003
2024-01-25T09:15:17.084000,39.602007,-105.941238,2947.763007,11.295787,177.899994
2024-01-25T09:15:19.095000,39.601913,-105.941236,2950.949365,10.935559,172
2024-01-25T09:15:21.084000,39.601823,-105.941243,2954.278795,11.277201,181
2024-01-25T09:15:23.083000,39.601727,-105.941264,2959.388661,10.888951,177.100006
2024-01-25T09:15:25.084000,39.601629,-105.94127,2962.87033,10.850712,176
2024-01-25T09:15:28.079000,39.601495,-105.941284,2969.716239,10.369488,178
2024-01-25T09:15:31.078000,39.601363,-105.941275,2976.680084,11.510752,181
2024-01-25T09:15:34.076000,39.60123,-105.941274,2984.369414,11.19457,181
2024-01-25T09:15:36.079000,39.601133,-105.941268,2989.492958,11.797396,182
2024-01-25T09:15:38.076000,39.601042,-105.941269,2992.007494,10.854657,187
2024-01-25T09:15:41.079000,39.600952,-105.941278,3001.372429,11.327781,183
2024-01-25T09:15:44.080000,39.600833,-105.941291,3006.433724,11.069741,187.300003
2024-01-25T09:15:48.084000,39.600723,-105.941316,3015.175983,10.097308,187.800003
2024-01-25T09:15:51.076000,39.600628,-105.94133,3022.916893,10.560379,181.699997
2024-01-25T09:15:53.084000,39.600538,-105.941329,3025.730108,10.821036,181.699997
2024-01-25T09:15:56.078000,39.60041,-105.941343,3030.617402,10.162436,183.100006
2024-01-25T09:15:59.084000,39.600267,-105.941324,3037.472532,11.108204,179.199997
2024-01-25T09:16:01.084000,39.600174,-105.941298,3039.634111,10.120823,173.899994
2024-01-25T09:16:03.084000,39.600082,-105.941266,3042.925431,10.940616,175.800003
2024-01-25T09:16:05.072000,39.599989,-105.941241,3047.597582,10.980626,171.399994
2024-01-25T09:16:07.088000,39.599899,-105.941215,3051.927548,11.352938,173.899994
2024-01-25T09:16:10.080000,39.599784,-105.941204,3056.781754,11.22088,177.699997
2024-01-25T09:16:13.088000,39.599662,-105.941192,3063.30763,11.397791,179.199997
2024-01-25T09:16:15.076000,39.59957,-105.941196,3067.856833,11.024962,173.100006
2024-01-25T09:16:18.082000,39.599442,-105.941186,3074.477591,11.489709,180.899994
2024-01-25T09:16:20.236000,39.599352,-105.941198,3081.771422,11.212221,179
