timestamp,bpm,confidence
2024-01-27T08:00:56.000000,86,0
2024-01-27T08:01:01.000000,145,1
2024-01-27T08:01:06.000000,143,1
2024-01-27T08:01:11.000000,145,1
2024-01-27T08:01:16.000000,150,1
2024-01-27T08:01:21.000000,149,1
2024-01-27T08:01:26.000000,151,1
2024-01-27T08:01:31.000000,152,1
2024-01-27T08:01:36.000000,148,1
2024-01-27T08:01:41.000000,127,2
2024-01-27T08:01:46.000000,122,1
2024-01-27T08:01:51.000000,138,2
2024-01-27T08:01:56.000000,139,2
2024-01-27T08:02:01.000000,132,2
2024-01-27T08:02:06.000000,134,1
2024-01-27T08:02:11.000000,143,2
2024-01-27T08:02:16.000000,153,2
2024-01-27T08:02:21.000000,152,2
2024-01-27T08:02:26.000000,149,2
2024-01-27T08:02:31.000000,144,1
2024-01-27T08:02:36.000000,138,2
2024-01-27T08:02:41.000000,128,2
2024-01-27T08:02:46.000000,120,2
2024-01-27T08:02:51.000000,131,2
2024-01-27T08:02:56.000000,130,2
2024-01-27T08:03:01.000000,124,2
2024-01-27T08:03:06.000000,122,2
2024-01-27T08:03:11.000000,131,2
2024-01-27T08:03:16.000000,137,2
2024-01-27T08:03:21.000000,144,2
2024-01-27T08:03:26.000000,139,1
2024-01-27T08:03:31.000000,131,2
2024-01-27T08:03:36.000000,127,2
2024-01-27T08:03:41.000000,133,2
2024-01-27T08:03:46.000000,141,2
2024-01-27T08:03:56.000000,133,2
2024-01-27T08:04:01.000000,132,2
2024-01-27T08:04:06.000000,135,2
2024-01-27T08:04:11.000000,139,2
2024-01-27T08:04:16.000000,143,2
2024-01-27T08:04:21.000000,145,2
2024-01-27T08:04:26.000000,143,2
2024-01-27T08:04:31.000000,137,2
2024-01-27T08:04:36.000000,131,2
2024-01-27T08:04:46.000000,130,2
2024-01-27T08:04:51.000000,133,2
2024-01-27T08:05:01.000000,132,2
2024-01-27T08:05:06.000000,130,2
2024-01-27T08:05:11.000000,131,2
2024-01-27T08:05:16.000000,132,2
2024-01-27T08:05:21.000000,124,3
